English Word,Translation,Part-of-Speech
plot twist,cambio de dirección del diagrama,{n} (a change in the direction or expected outcome of the plot)
plough,"arado {m}; arar, labrar",{n} /plaʊ/ (device pulled through the ground in order to break it upon into furrows for planting); {v} (to use a plough on to prepare for planting)
Plough,,{prop} (Big Dipper)
plover,"chorlo {m}, chorlito {m}, chorlitejo {m}",{n} /ˈplʌvə/ (wading bird of the family Charadriidae)
plow,; ,{n} (plough); {v} (plough)
plowshare,reja {f},"{n} (The cutting edge of a plow, typically a metal blade.)"
pluck,perseverancia {f}; herir; desplumar,"{n} (nerve, fortitude, persistence); {v} /plʌk/ (music: to gently play a single string); {v} (to remove feathers from a bird)"
plucky,"valiente {m} {f}, osado {m}",{adj} /ˈplʌki/ (having or showing pluck)
plug,tapón {m}; enchufe {m},{n} (hole filler); {n} /plʌɡ/ (electric connecting device)
plug in,enchufar,{v} (connect an electrical device)
plum,"selecto, escogido; ciruela {f}; ; ciruelo {m}",{adj} (choice); {n} /plʌm/ (the fruit); {n} (raisin); {n} (the tree)
plumage,plumaje {m},{n} /ˈpluːmɪdʒ/ (feathers)
plumb bob,peso de la plomada {m},{n} (metal weight)
plumber,"fontanero {m} [Spain], gásfiter {m} [Chile], gasfitero {m} [Peru], plomero {m} [Latin America]; plomero {m}","{n} (one who fits, etc, pipes for water, gas or drainage); {n} /ˈplʌmə/ (one who works in lead)"
plumber's helper,,{n} (plunger)
plumbery,,{n} (business of a plumber)
plumbing,"cañería {f}; fontanería {f}, plomería {f}","{n} /ˈplʌmɪŋ/ (pipes, etc, of a water/gas/sewage system in a building); {n} (trade or occupation of a plumber)"
plumbism,saturnismo {m},{n} (lead poisoning)
plumed thistle,,{n} (spear thistle)
plum tree,,{n} (tree that bears plums)
plunder,"botín, saqueo; saquear; saquear; saquear; saquear","{n} (loot attained by plundering); {v} /ˈplʌndə(r)/ (to take all the goods of, by force (as in war) (transitive)); {v} (to commit robbery or looting (intransitive)); {v} (to take by force or wrongfully); {v} (to use or use up wrongfully)"
plunge,submergir; zambullir,"{v} /plʌndʒ/ (to thrust into water, or into any substance that is penetrable; to immerse); {v}"
plunger,"desatascador {m}, chupón {m} [Venezuela], destupidor {m} [Costa Rica, Cuba, Dominican Republic, Nicaragua], sopapa {f} [Chile]",{n} (device for removing blockages by suction)
pluot,"ciruela damasco {f}, pluoto {m}, plúot {m}, pluot {m}, ciruela albaricoque {f}, ciruela chabacano {f}",{n} (plum-apricot)
pluperfect,pluscuamperfecto {m},{n} (tense)
pluperfect tense,pluscuamperfecto,{n} (tense)
plural,plural; plural {m},{adj} (more than one); {n} (word in plural form)
plurale tantum,plurale tantum,{n} /plʊˌɹɑleɪ̯ˈtɑntəm/ (A noun without a singular form)
pluralism,pluralismo {m},{n} (social system based on mutual respect for each other's cultures among various groups)
plus,"positivo {m}, positiva {f}; más; más; más; ",{adj} (being positive rather than negative or zero); {adj}; {conj} (in addition to); {conj} /plʌs/ (arithmetic: sum); {n} (plus sign)
plush,peluche {m}; felpa {f},{n} (child's toy filled with soft material); {n} /plʌʃ/ (A textile fabric)
plus sign,signo más {m},{n} (symbol + used to denote the operation of addition and to indicate that a number is positive)
Plutarch,Plutarco,{prop} /ˈplu.tɑɹk/ (Greek historian)
Pluto,Plutón {m},{prop} /ˈpluːtəʊ/ (Kuiper belt object - a dwarf planet)
plutocracy,plutocracia {f},{n} /pluːˈtɑːkrəsi/ (government by the wealthy)
plutodemocracy,democracia plutocrática {f},{n} /ˌplutoʊdɪˈmɒkɹəsi/
pluton,plutón {m},{n} (geology)
plutonic,"plutónico {m}, plutónica {f}",{adj} /pluːˈtɒn.ɪk/ (igneous rock that cooled and hardened below the surface of the Earth)
plutonium,plutonio {m},{n} (chemical element)
pluviometer,"pluviómetro {m}, pluvímetro {m}, udómetro {m}",{n} (instrument)
pluvious,"pluvioso {m}, pluviosa {f}",{adj} /ˈplʊviəs/ (of or pertaining to condition of heavy rain)
plywood,"contrachapado {m}, triplay {m} [Mexico]",{n} (construction material)
PM,PM,{initialism} (after 12:00:00)
pneumatic,"neumático {m}, neumática {f}",{adj} /nʊˈmæ.tɪk/ (of or relating to air or other gases)
pneumoconiosis,pneumoconiosis,{n} (disease of the lungs)
pneumology,neumología {f},{n} /ˈnjuːmɑlədʒɪ/ (the study of the respiratory system and organs)
pneumonia,"pulmonía {f}, neumonía {f}",{n} /nʊmonjə/ (inflammation of the lungs)
pneumonoultramicroscopicsilicovolcanoconiosis,pneumoultramicroscopicosilicovolcanoconiosis {f},{n} /njuːˌmɒnəʊʌltrəmaɪkrəʊˈskɒpɪkˌsɪlɪkəʊvɒlkeɪnəʊkəʊniˈəʊsɪs/ (disease of the lungs)
poach,"escalfar; cazar cabeza; [gathering] recolectar furtivamente, [logging] talar furtivamente, [fishing] pescar furtivamente, [hunting] cazar furtivamente, [poaching] practicar furtivismo; quitar furtivamente, hurtar",{v} /ˈpoʊtʃ/ (cook in simmering water); {v} (to cause an employee or customer to switch); {v} (to take game or fish illegally); {v} (to take illegally or unfairly)
poached egg,huevo escalfado {m},{n} (egg)
poacher,"[game] cazador furtivo {m}, [fish] pescador furtivo {m}, [logging] leñador furtivo {m}, [logging] talador furtivo {m}, [usually an adjective] furtivo {m}, [gathering] recolector furtivo {m}, reducidor silvestre {m}, furtivista {m}",{n} /ˈpəʊ.tʃə(ɹ)/ (a person who trespasses in order to take game illegally)
poaching,"furtivismo {m}, [hunting] caza furtiva {f}, [fishing] pesca furtiva {f}, [logging] talado furtivo {m}, [gathering] recolección furtiva {f}",{n} (trespassing in search of game)
PO box,,{n} (box hired as a collection point for mail)
pochard,porrón {m},{n} /ˈpɒ.tʃɑːd/ (duck)
pocket,"bolsillo {m}, bolsa {f} [Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua]; tronera {f}; embolsar",{n} (bag stitched to an item of clothing); {n} (billiards: net into which balls are struck); {v} (to put into a pocket)
pocket flask,,{n} (pocket-size container for alcoholic beverages)
pocketknife,navaja {f},{n} (small knife whose blades or tools can fold in its handle)
pocket money,"paga {f}, [if monthly] mesada, [if monthly] mensualidad {f}",{n} (money given to a child)
pocket pistol,pistola de bolsillo {f},{n} (Any handgun suitable to be carried in a pocket)
pocket pool,paja bolsillera {f},{n} (masturbation through a pocket)
pocket watch,"reloj de bolsillo {m}, reloj de faltriquera {m}",{n} (watch)
pod,vaina {f}; cápsula de escape {f},{n} /ˈpɑd/ (seed case); {n} (small vehicle)
podcast,podcast {m},{n} (podcast)
Podgorica,Podgorica {f},{prop} /ˌpɒdɡəˈɹɪtsa/ (capital city of Montenegro)
podiatrist,"podiatra {m}, podólogo {m}",{n} /pəˈdaɪətrɪst/ (specialist in foot care)
podium,podio {m},{n} /ˈpəʊ.dɪi.ʌm/ (a platform)
Podolsk,Podolsk,{prop} (city)
poem,"poema {m}; poema {m}, oda {f}",{n}; {n} /ˈpoʊ̯əm/ (literary piece written in verse)
poet,"poeta {m} {f}, poetisa {f}",{n} /ˈpəʊɪt/ (person who writes poems)
poetaster,poetastro {m},{n} (unskilled poet)
poetic,poético; poético,{adj} (characteristic of poets); {adj} (relating to poetry)
poetically,poéticamente,{adv} (in a poetic manner)
poetry,poesía {f},{n} /ˈpʰoʊ̯.ətˌɹi]/ (class of literature)
pogrom,pogromo {m},{n} /ˈpoʊɡɹəm/ (riot)
poignancy,patetismo {m},{n} (the quality of being poignant)
poignant,"conmovedor; incisivo penetrante agudo; claro elocuente agudo penetrante; picante; puntiagudo, punzo-cortante",{adj} (evoking strong mental sensation); {adj} (incisive; penetrating); {adj} (neat; eloquent; applicable; relevant); {adj} (piquant; pungent); {adj} /ˈpɔɪn.jənt/ (sharp-pointed; keen)
poinsettia,"flor de Pascua {f}, corona del Inca {f} [Chile], estrella federal {f} [Argentina], flor de Nochebuena {f} [Mexico], papagayo {m} [Venezuela], pastora {f} [Costa Rica, Nicaragua]. sombrilla japonesa {f} [Colombia]",{n} /ˌpɔɪnˈsɛ.ɾ(i)ə/ (plant)
point,"punto {m}; punto {m}; punto {m}; punto de encuentro; punta {f}; punto {m}; indicar, apuntar",{n} (arithmetic: decimal point); {n} (full stop); {n} (geometry: zero-dimensional object); {n} /ˈpɔɪnt/ (location or place); {n} (sharp tip); {n} (unit of scoring in a game or competition); {v} (to extend finger)
pointer,"; apuntador {m}, puntero {m}; ",{n} (advice); {n} (computer programming: variable that stores the address of another variable); {n} (computing: icon indicating mouse position)
point guard,base {f},{n} (ballhandling guard in basketball)
pointillism,puntillismo {m},{n} (painting technique)
pointless,"irrelevante {m} {f}, fútil {m} {f}; inútil {m} {f}, vano {m}, innecesario {m}; romo {m}, chato {m}",{adj} (having no prominent or important feature); {adj} (having no purpose); {adj} /ˈpɔɪntləs/ (having no point or sharp tip)
pointlessly,inútilmente,{adv} (pointless manner)
point of view,punto de vista {m}; punto de vista {m},"{n} (An attitude, opinion, or set of beliefs); {n} (A position from which something is seen; outlook; standpoint)"
poison,veneno {m}; envenenar,{n} /ˈpɔɪz(ə)n/ (substance harmful to a living organism); {v} (to use poison to kill or paralyse)
poison ivy,hiedra venenosa {f},{n} (plant)
poisonous,"tóxico; venenoso, ponzoñoso",{adj} (containing sufficient poison to be dangerous)
poke,; ; hurgar; ,{n} (ice cream cone); {n} (pokeweed); {v} /poʊk/ (to jab with a pointed object such as a finger or a stick); {v} (rummage)
poker,"póquer, póker {m}; atizador",{n} (card game); {n} (metal rod for poking)
poker face,doble cara {f}; doble cara {f},{n} (Any similar expression preventing giving away one's motives etc.); {n} (Impassive facial expression preventing determining whether one's actions in the game are the result of a quality hand or of bluffing)
Poland,Polonia {f},{prop} /ˈpoʊ.lənd/ (European country)
polar bear,"oso polar {m}, oso blanco {m}",{n}
polar fox,,{n} (arctic fox)
polarisability,,{n} (polarizability)
polarization,polarización; polarización; polarización {f}; polarización,{n} (grouping of opinions into two extremes); {n} (production of polarized light); {n} (production or condition of polarity); {n} (separation of positive and negative charges)
polarize,polarizar,{v} (to cause to have a polarization)
polder,pólder {m},{n} (area of ground reclaimed from a sea or lake by means of dikes)
pole,"polo {m}; polo {m}; palo {m}, garrocha {f}",{n} (extreme of an axis); {n} (magnetic point); {n} /poʊl/ (long and slender object)
Pole,"polaco {m}, polaca {f}",{n} /pəʊl/ (person from Poland)
polecat,turón {m}; ,{n} /ˈpɑlkæt/; {n} (skunk)
polemic,polémico; polémica {f},{adj} (having the characteristics of a polemic); {n} /pʌˈlɛmɪk/ (argument or controversy)
pole star,estrella polar {f},{n} (the star)
pole vault,salto con garrocha {m},{n} (jumping event where an athlete vaults over a high bar with the aid of a pole)
police,policía {f},{n} /pəˈliːs/ (an organisation that enforces the law)
police dog,"perro policía {m}, perro policial {m}",{n} (trained dog for police work)
police force,"carabineros {m} {p}, cuerpo de policía {m}, fuerza pública {f}","{n} (police organization, constabulary)"
policeman,"policía {m}, policial {m}",{n} (a member of a police force)
police officer,"policía {m}, agente {m} {f}",{n} (an officer in a law enforcement agency)
police state,estado policial {m},{n} (nation whose government controls people by police)
police station,comisaría {f},{n} (building of police force)
policewoman,"policía femenino {m}, agente {m} {f}",{n} (a female police officer)
policy,; política {f},{n} (number pool); {n} /ˈpɑləsi/ (principle of conduct)
policymaker,"formulador de políticas, formulador {m}",{n} (one involved in the formulation of policies)
poliomyelitis,poliomielitis {f},{n} (infection by the poliovirus)
poliovirus,poliovirus {m},{n} (human enterovirus)
polis,polis,{n} /ˈpɒ.lɪs/ (a city or city-state)
polish,"abrillantador; betún (footwear polish); pulir, acicalar; pulir",{n}; {n} /ˈpɑlɪʃ/ (substance used to polish); {v} (make a surface smooth or shiny); {v}
Polish,"polaco {m}, polonés {m}; polaco {m}",{adj} /ˈpoʊlɪʃ/ (of Poland or its language); {prop} (the language of Poland)
Polish notation,notación polaca {f},{n} (notation for arithmetic formulae)
politburo,"Politburó {m}, Buró Político {m}",{n} (the governing Communist council)
polite,"cortés, educado",{adj} /pəˈlaɪt/ (well-mannered)
politeness,educación {f} cortesía {f},{n} (act of being polite)
political,político; político {m},{adj} /pəˈlɪtɪkəl/ (concerning or relating to politics); {adj}
political correctness,corrección política {f},{n} (being politically correct)
politically,políticamente,{adv} (in a political manner)
politically correct,políticamente correcto,"{adj} (avoiding offense, selectively)"
politically incorrect,politicamente incorrecto,{adj} (that which is not politically correct)
political party,partido político {m},{n} (political organization)
political scientist,politólogo {m},{n} (political science expert)
politician,"político {m}, política {f}",{n} /ˈpɒl.ɪ.tɪʃ.ən/ (one engaged in politics)
politics,política {f},{n} /ˈpɒl.ɪ.tɪks/ (a methodology and activities associated with running a government)
polka dot,lunares {p},{n} /ˈpoʊ.kə ˌdɑt/ (uniform round dots forming a pattern on fabric)
poll,"encuesta {f}; encuesta, encuestas {p}",{n} /poʊl/ (An election or a survey of a particular group); {v} (to solicit mock votes from (a person or group))
pollen,polen {m},{n} /ˈpɑlən/ (fine granular substance produced in flowers)
pollination,polinización {f},{n} (transfer of pollen from an anther to a stigma)
polling station,mesa electoral {f},{n} (place where voters go to cast their ballot)
pollock,"carbonero {m} [P. virens], abadejo {m} [P. pollachius]; gado {m}",{n} (food fish related to cod); {n}
pollster,encuestador,{n} (person who conducts polls)
poll tax,"impuesto de capitación, impuesto electoral, capitación",{n} (uniform tax per individual)
pollutant,contaminante {m},{n} (something that pollutes)
pollution,"polución {f}, contaminación {f}",{n} (the contamination of the environment by harmful substances)
polo,polo {m},{n} /ˈpəʊləʊ/ (ball game)
polonium,polonio {m},{n} /pəˈloʊniəm/ (chemical element)
Polonization,polonización {f},{n} (Polonization)
polo shirt,"polo {m}, chemise {f} [Venezuela], chomba {f} [Argentina], poloché {f} [Dominican Republic]",{n} (casual top)
poltergeist,poltergeist {m},{n} /ˈpɵ̙ltəɡaɪst/ (a disruptive ghost)
poltroon,"; cobarde {m} {f}, mandria, blanco, blandengue, pendejo, rajado, gallina",{adj} (cowardly); {n} /pɑlˈtɹun/ (an ignoble or arrant coward)
polyalkene,,{n} (polyolefin)
polyamide,poliamida {f},{n} (polymer)
polyamory,poliamoría,{n} /ˌpɒliˈæm(ə)ri/ (practices involving relationships with multiple partners)
polyandry,poliandria {f},{n} (plurality of husbands at the same time)
polyarchy,poliarquía {f},{n} (government by many persons)
polycarbonate,policarbonato {m},{n} (polymer of aromatic carbonates)
polychromatic,"policromo, polícromo",{adj} (showing a variety of colours)
polycyclic,policíclico {m},{adj}
polyester,poliéster {m},{n} (polymer)
polyethism,polietismo,{n} (different work activities)
polyethylene,polietileno {m},{n} (polyethylene)
polygamist,polígamo {m},{n} /pəˈlɪgəmɪst/ (one who practices polygamy)
polygamy,poligamia {f}; ,{n} /pəˈlɪgəmi/ (the having of a plurality of socially bonded sexual partners at the same time); {n} (polygyny)
polyglot,"poligloto, polígloto {m}; poligloto, polígloto, polígloto {m}; políglota {m} {f}; políglota {m}","{adj} (Containing, or made up of, several languages); {adj} /pɒliːɡlɒt/ (Versed in, or speaking, many languages); {n} (one who masters, notably speaks, several languages); {n}"
polygon,polígono {m},{n} /ˈpɑliɡɑn/ (plane figure bounded by straight edges)
polygraph,polígrafo {m},{n} (device to discern if a subject is lying)
polyhedron,poliedro; ,{n} /pɒliˈhiːdrən/ (geometry: solid figure); {n} (polyscope)
polymath,polímata {m} {f},{n} /ˈpɑliˌmæθ/ (Person with extraordinarily broad and comprehensive knowledge)
polymer,polímero {m},{n} /ˈpɑ.lɪ.mɚ/ (molecule consisting of many identical monomers)
polymerase,polimerasa {f},{n} (enzyme that catalyses the formation of polymers)
polymeride,,{n} (polymer)
polymerize,polimerizar,{v} /ˈpɑləməˌraɪz/ (to convert a monomer to a polymer)
polymorphism,polymorfismo {m},{n} /pɑliˈmɔɹfɪzəm/
polynomial,"polinomial, polinómico; polinomio {m}",{adj} (in algebra); {n} (algebraic expression)
polynuclear,polinuclear,{adj} (having multiple nuclei)
polynya,polinia {f},{n} (an area of open water surrounded by sea ice)
polyp,pólipo {m}; pólipo {m},{n} (coelenterate); {n} (growth)
polyphenol,polifenol {m},{n} (any of a large class of organic compounds)
polyphosphate,polifosfato {m},{n} (class of inorganic polymers)
polyploidy,poliploidía {f},{n} /ˈpɒlɪplɔɪdi/ (state or condition of being a polyploid)
polyptoton,poliptoton {f},{n} /ˌpɑl.əpˈtoʊ.tɑn/ (stylistic scheme)
polysaccharide,polisacárido {m},{n} (complex carbohydrate)
polysemantic,polisemántico,{adj} (having multiple meanings)
polysemic,polisémico,"{adj} (having a number of meanings, interpretations or understandings)"
polyspast,polispasto {m},{n} (machine consisting of many pulleys)
polystyrene,poliestireno {m},{n} (polymer)
polysyllabic,polisílabo,{adj} (having more than one syllable)
polysynthetic,polisintético,{adj} (polysynthetic)
polytheism,politeísmo {m},{n} /pɒliˈθiˈĭzˈəm/ (belief in the existence of many gods)
polytheistic,politeísta,{adj} (of or relating to polytheism)
polytope,politopo {m},{n} (geometric shape)
polyurethane,poliuretano {m},{n} (any of various polymeric resins containing urethane links)
pomade,"brillantilla {f}, pomada de pelo {f}",{n} (greasy substance)
pome,pomo {m},{n} (type of fruit)
pomegranate,granada {f}; granado {m},{n} (fruit); {n} /ˈpɑməˌɡɹænət/ (shrub/tree)
pomelo,"; pampelmusa {f}, pomelo {m}",{n} (grapefruit); {n} /ˈpɑməloʊ/ (fruit)
pommel horse,caballete {m},{n} (gymnastic apparatus)
pompous,"majestuoso {m}, majestuosa {f}, pomposo {m}",{adj} /ˈpɒmpʌs/ (affectedly grand)
pompously,pomposamente,{adv} (in a pompous manner)
ponce,,{n} /pɒns/ (pimp)
poncho,poncho {m},{n} /ˈpɑn.tʃoʊ/ (simple garment of cloth)
pond,"charca {m}, estanque {m}, laguna {f}; [colloquial] charco {m}",{n} /pɑnd/ (small lake); {n} (The Atlantic Ocean)
ponder,"considerar, meditar; ponderar",{v} /ˈpɒn.də(r)/ (to think deeply); {v} (to consider carefully)
ponderous,"; grave, torpe, abrumador, agobiante, aplastante, dogmático; pesado, torpe, beocio, grosero, conformista","{adj} (dense); {adj} (dull or boring); {adj} /ˈpɑn.dɚ.əs/ (clumsy, unwieldy, or slow, especially due to weight)"
Pondicherry,,{prop} (Puducherry)
pontiff,"papa {m}, pontífice {m}",{n} /ˈpɒntɪf/ (pope)
pontificate,pontificado; pontificar,{n} /pɑːnˈtɪfɪkət/ (state of a pontifex); {v} /pɑːnˈtɪfɪkeɪt/ (preside as a bishop)
pony,"poni {m}, caballito {m}",{n} (small horse)
ponytail,cola de caballo {f},{n} /ˈpoʊniˌteɪl/ (hairstyle)
poo,caca {f},{n} (faecal matter)
pooch,pichicho {m},{n} (slang: dog)
poodle,caniche {m},{n} /ˈpuː.dəl/ (any of various breeds of dog)
pool,"estanque {m}, pileta {f}; ; participar; reunir, compartir",{n} (body of water); {n} (swimming pool); {v} (to combine or contribute with others); {v} (to put together)
poop,"popo, caca; popa {f}",{n} (excrement); {n} /puːp/ (stern of a ship)
poop deck,castillo de popa {m},"{n} (A high, exposed deck at the stern of a ship, with cabins below.)"
pooper scooper,"pala de mierda de perro {f}, pala de caca {f}",{n} (scoop for the collection of pet excrement)
poor,pobre; pobre [precedes the noun]; los pobres,{adj} /pɔə/ (with no possessions or money); {adj} (to be pitied); {n}
poor as a church mouse,más pobre que una rata,{adj} (very poor)
poor thing,"pobrecito {m}, pobrecillo {m}",{n} (someone or something to be pitied)
pop,pum; ; ,{interj} (sound made in imitation of the sound); {v} /pɒp/ (to hit); {v} (to ejaculate)
popcorn,"palomitas de maíz {f} [especially Costa Rica, Honduras, Mexico, Nicaragua, Spain], cabritas {f} [Chile], cancha {f} [Peru - also canchita], canguil {m} [Ecuador], cocaleca {f} [Dominican Republic], cotufas {f} [Spain’s Canary Islands, Venezuela], crispetas {f} [Colombia, Northern Central Mexico], esquites {m} [Northwestern Mexico], gallitos {m} [Northwestern Venezuela], maíz pira {f} [Colombia], millo {m} [Panama], pipoca {f} [Bolivia], pochoclo {m} [Argentina], pop {m} [Uruguay], popcorn {m} [Panama, Puerto Rico], poporopo {m} [Guatemala], pororó {m} [Eastern Bolivia, Northern and Western Argentina, Paraguay, Uruguay], pururú {m} [Northern Central Argentina], roscas {f} [Spain’s Canary Islands], rosetas de maíz {f} [El Salvador, Puerto Rico, Southern Spain], rositas de maíz {f} [Cuba], tostones {m} [Southeastern Spain]",{n} /ˈpɑp.kɔɹn/ (popcorn)
pope,Papa {m},{n} /poʊp/ (head of Roman Catholic Church)
Popemobile,papamóvil {m},{prop} (any of various vehicles with bulletproof glass sides used to transport the Pope)
pop group,grupo de pop {m},{n} (musical group specializing in pop music)
popinjay,; ,{n}; {n} /ˈpɑpɪnˌdʒeɪ/ (parrot)
poplar,álamo {m},{n} (any of various deciduous trees of the genus Populus)
popliteal,poplíteo {m},{adj} /pɒpˈlɪtiəl/ (area behind the knee)
pop music,"música pop {f}, música popular {f}",{n} (music intended for or accepted by a wide audience)
poppy,amapola {f},{n} /ˈpɑpi/ (plant)
popsicle,"helado {m} (de agua), paleta",{n} /ˈpɑpsɪkl̩/ (serving of frozen juice on a stick)
populace,populacho {m} [pejorative],{n} /ˈpɑpjələs/ (common people)
popular,popular,{adj} /ˈpɑpjələɹ/ (liked by many people)
popular assembly,asamblea popular {f},{n} (localized citizen gathering)
popularise,popularizar,{v} (to make popular)
popularity,popularidad {f},{n} /ˌpɒp.jəˈlæɹ.ɪ.ti/ (The quality or state of being popular)
popular music,música popular,{n} (genre that has a wide appeal amongst the general public)
population,población {f}; población {f},{n} (number of residents in a given area); {n} /pɒpjuːleɪʃən/ (all people living within a political or geographical boundary)
populism,populismo {m},{n} (a political doctrine or philosophy)
pop up,aparecerse,{v} (to appear without warning)
porbeagle,"tiburón cailón {m}, cailón {m}",{n}
porcelain,porcelana {f}; porcelana {f},"{n} (anything manufactured from this material); {n} /ˈpoʊɹ.sə.lɪn/ (hard, white, translucent ceramic)"
porch,"pórtico {m}, porche {m}",{n} /poʊɹtʃ/ (a covered and enclosed entrance to a building)
porcine,porcino,{adj} (of or pertaining to the pig)
porcupine,puercoespín {m},{n} (large rodent)
pore,poro {m},{n} (a tiny opening in the skin)
pork,cerdo {m},{n} /poʊrk/ (meat of a pig)
pork rind,"chicharrón {m}, chicharrones {m} {p} [mass noun]",{n} (food made from pork skin)
porn,porno; ,{n} /pɔɹn/ (pornography); {n} (pornography)
pornographer,pornógrafo {m},{n} (person involved in creation or dissemination of pornography)
pornographic,pornográfico,{adj} (containing an explicit depiction of sexual activity)
pornography,pornografía {f},{n} /pɔɹˈnɑ.ɡɹə.fi/ (depiction of sexual subject matter with prurient intent)
pornophobe,pornofóbico {m},{n}
pornophobia,"travesti {m} {f}, transformista {m} {f}",{n}
pornophobic,pornofóbico {m},{adj}
porn star,"actor porno {m}, actriz porno {f}",{n} (actor or actress famous for appearing in pornographic films)
porosity,porosidad {f}; porosidad {f},{n} (measure of how porous a material is); {n} (state of being porous)
porphyrin,porfirina {f},{n} (heterocyclic compound)
porpoise,marsopa {f},{n} (cetacean)
porridge,gachas {f} {p},{n} /ˈpɒɹɪdʒ/ (breakfast cereal dish)
port,a babor {m} {f}; puerto {m}; ; vino de Oporto {m}; ; puerto {m}; puerto {m},"{adj} (of or relating to port, the left-hand side of a vessel); {n} (computing: logical or physical construct into and from which data are transferred); {n} (entryway, portal); {n} (fortified wine); {n} (left-hand side of a vessel); {n} /poʊɹt/ (dock or harbour); {n} (town or city with a dock or harbour)"
portable,portátil; portable,{adj} (able to be carried); {adj} (running on multiple systems)
portal,portada; portal {m}; portada,{n} (entry point); {n} (grandiose entrance); {n} (website)
portcullis,rastrillo {m},{n} /pɔːtˈkʌlɪs/ (gate in the form of a grating)
portend,presagiar; significar,{v} /pɔːˈtɛnd/ (to serve as a warning or omen); {v} (to signify)
porter,"mozo {m}, cargador {m}, changador {m}, changarín {m}, faquín {m}, fardero {m}, gallego {m}, mecapal {m}, porteador {m}, soguilla {m}; ",{n} (a person who carries luggage and related objects); {n} ((Ireland) another name for stout)
portfolio,"carpeta de trabajos {f}; cartera de inversiones {f}; cartera {f}; portafolio {m}, portafolios {m} {p}",{n} (collection); {n} (investments); {n} (post); {n} /pɔ˞t.foʊ.li.oʊ/ (case)
porthole,tronera {f},{n} (circular window)
portico,pórtico {m},"{n} /ˈpɔːtɪkəʊ/ (small space with a roof supported by columns, serving as the entrance to a building)"
portion,"porción {f}, ración {f}",{n} /ˈpɔːʃən/ (allocated amount)
portmanteau,"maleta {f}, valija {f}; ",{n} /ˌpɔrtmænˈtoʊ/ (case); {n} (portmanteau word)
portmanteau word,"palabra baúl {f}, contracción {f}",{n} (word which combines the meaning of two words)
Port Moresby,Port Moresby {m},{prop} /ˌpɔɹt ˈmɔɹzbi/ (capital of Papua New Guinea)
Port of Spain,Puerto España {m},{prop} (The capital of Trinidad and Tobago)
portrait,retrato {m}; retrato {m},{n} (an accurate depiction of a mood); {n} /ˈpɔɹtɹeɪt/ (painting of a person)
portray,describir; retratar,{v} (figuratively: to describe in words); {v} (to paint or draw the likeness of)
Portsmouth,Portsmouth,{prop} (city in southern England)
Portugal,Portugal {m},{prop} /ˈpʰɔɹt͡ʃəɡəl/ (country)
Portuguese,"portugués; portugués; portugués {m}, portuguesa {f}; portugués {m}",{adj} (of or relating to the Portuguese language); {adj} /ˈpɔɹ.tʃə.ɡiːz/ (of or relating to the region of Portugal); {n} (person native to Portugal); {prop} (the language)
Portuguese oak,"quejigo {m}, carvallo {m}, rebollo {m}",{n}
Portuguese Water Dog,"Perro de Agua portugues {m}, Cão de Água Português",{n} /ˌpɔɹtʃəɡiːz ˈwɔtɚ dɔɡ/ (Portuguese Water Dog)
Portuñol,portuñol {m},{prop} (the language)
port wine,"vino de Oporto {m}, oporto {m}",{n} (A type of fortified wine traditionally made in Portugal)
portyanki,,{n} (footwrap)
pose,pose {f}; posar,"{n} (position, arrangement (especially of the human body)); {v} /pəʊz/ (assume or maintain a pose)"
Poseidon,Poseidón {m},{prop} (the god of the sea)
posh,"pijo {m}; pijo {m}, pija, {f}, elitista {m} {f}","{adj} (associated with the upper classes); {adj} (stylish, elegant, exclusive)"
posit,postulado; postular; proponer,{n} /ˈpɒzɪt/ (A postulate); {v} (Postulate); {v} (Suggest)
position,posición {f}; posición {f},"{n} /pəˈzɪʃən/ (place, location); {n}"
positive,positivo; positivo; positivo; positivo {m},{adj} (mathematics: greater than zero); {adj} (physics: having more protons than electrons); {adj} /ˈpɒzɪtɪv/ (definitely laid down); {n} (adjective or adverb in the positive degree)
positivism,positivismo {m},{n} (philosophical doctrine)
positivity,positividad {f},{n}
positron,positrón {m},{n} /ˈpɑ.zɪ.trɑn/ (positron)
positronium,positronio {m},{n} (exotic atom)
posology,posología,{n} (study of drug dosage)
posse,cuadrilla armada {f}; posse comitatus {m},{n} (A criminal gang); {n} /ˈpɑ.si/ (A group of people summoned to help law enforcement)
possess,poseer; poseer,{v} (to have; to have ownership of); {v} (to take control of someone's body or mind)
possessed,poseído,{adj} (controlled by evil spirits)
possessing,poseyendo,{v} (present participle of possess)
possession,posesión {f}; posesión {f},{n}; {n} (something that is owned)
possessive,posesivo {m}; posesivo; posesivo {m}; ,{adj} (grammar: indicating possession); {adj} (pertaining to possession); {adj} (unwilling to yield possession of); {n} (possessive case)
possessive case,caso posesivo {m},{n} (case used to express direct possession)
possessive pronoun,pronombre posesivo {m},{n} (pronoun in the possessive case)
possessive suffix,sufijo posesivo {m},{n} (Suffix indicating possession)
possessor,posesor {m},{n} /pɒˈzɛsɔː/ (One who possesses)
possibility,posibilidad {f}; posibilidad {f}; posibilidad {f},{n} (a thing possible); {n} (option); {n} (quality of being possible)
